Volume,Symbol,Date Acquired,Date Sold,Proceeds,Cost Basis,Gain,Currency,Unmatched,AcquiredAccount,AcquiredId,SoldAccount,SoldId
0.08295696,ETH,29/04/2018,29/04/2018,203.41,202.17,1.24,ILS,,Binance,22785591-62353818,Binance,3827160-16245994
1.04665082,ETH,29/04/2018,29/04/2018,2566.35,2550.81,15.54,ILS,,Binance,22785592-62353818,Binance,3827160-16245994
1.163472,ETH,29/04/2018,29/04/2018,2852.79,2835.51,17.28,ILS,,Binance,22785592-62353818,Binance,11375186-28900724
1.1634885,ETH,29/04/2018,29/04/2018,2852.83,2835.55,17.28,ILS,,Binance,22785592-62353818,Binance,7486160-26600076
0.00915,EOS,29/04/2018,30/04/2018,0.58,0.67,-0.09,ILS,,Binance,7447823-26500172,Binance,7590469-26942457
19.27085,EOS,29/04/2018,30/04/2018,1224.8,1426.05,-201.25,ILS,,Binance,7486160-26600076,Binance,7590469-26942457
0.142,TRX,29/04/2018,30/04/2018,0.05,0.04,0.01,ILS,,Binance,11367115-28868046,Binance,11418396-29055691
1159.858,TRX,29/04/2018,30/04/2018,372.17,354.59,17.58,ILS,,Binance,11375186-28900724,Binance,11418396-29055691
18.962,TRX,29/04/2018,30/04/2018,6.08,5.8,0.28,ILS,,Binance,11375186-28900724,Binance,11418397-29055691
3486.038,TRX,29/04/2018,30/04/2018,1117.64,1065.84,51.8,ILS,,Binance,11375187-28900724,Binance,11418397-29055691
1.11357324,ETH,29/04/2018,30/04/2018,2721.82,2713.9,7.92,ILS,,Binance,22785592-62353818,Binance,4741711-19844074
11155,XVG,30/04/2018,03/05/2018,3183.95,2721.61,462.34,ILS,,Binance,4741711-19844074,Binance,4862947-20480563
0.08414953,ETH,29/04/2018,03/05/2018,223.65,205.08,18.57,ILS,,Binance,22785592-62353818,Binance,1843437-17137934
0.50133728,ETH,30/04/2018,03/05/2018,1332.46,1226.61,105.85,ILS,,Binance,7590469-26942457,Binance,1843437-17137934
0.61047111,ETH,30/04/2018,03/05/2018,1622.52,1493.62,128.9,ILS,,Binance,11418396-29055691,Binance,1843437-17137934
4.82,EOS,29/04/2018,04/05/2018,297.29,356.68,-59.39,ILS,,Binance,7486160-26600076,Binance,8049193-28461584
0.38,ETC,03/05/2018,04/05/2018,30.25,30.85,-0.6,ILS,,Binance,1843437-17137934,Binance,1852426-17248980
6.46331,ETC,03/05/2018,04/05/2018,514.45,524.75,-10.3,ILS,,Binance,1843438-17137934,Binance,1852427-17248980
0.01,ETC,03/05/2018,04/05/2018,0.8,0.81,-0.01,ILS,,Binance,1843438-17137934,Binance,1852428-17248980
2.92669,ETC,03/05/2018,04/05/2018,232.95,237.61,-4.66,ILS,,Binance,1843437-17137934,Binance,1852427-17248980
0.1,ETC,03/05/2018,04/05/2018,7.95,8.12,-0.17,ILS,,Binance,1843438-17137934,Binance,1852452-17249318
0.09,ETC,03/05/2018,04/05/2018,7.15,7.31,-0.16,ILS,,Binance,1843438-17137934,Binance,1852465-17249318
0.1,ETC,03/05/2018,04/05/2018,7.95,8.12,-0.17,ILS,,Binance,1843438-17137934,Binance,1852466-17249318
0.09,ETC,03/05/2018,04/05/2018,7.15,7.31,-0.16,ILS,,Binance,1843438-17137934,Binance,1852467-17249318
0.05,ETC,03/05/2018,04/05/2018,3.97,4.06,-0.09,ILS,,Binance,1843438-17137934,Binance,1852468-17249318
